id;data_type;value;aggregation_time
1;paint despite;contract hopelessly camp;2024-06-03T16:49:10
2;even meanwhile alias;swiftly relaxation patiently;2024-06-03T14:01:22
3;yowza;outbid;2024-06-03T00:02:13
4;fondly oof;behind even;2024-06-03T16:37:18
5;reassess lest despite;yawningly;2024-06-03T11:08:05
6;cap;along mewl;2024-06-03T19:44:52
7;oh yippee that;quaver;2024-06-03T06:36:42
8;inquisitively bravely upliftingly;coexist;2024-06-03T19:43:32
9;circle times;bog;2024-06-03T13:32:16
10;ick while;extroverted given;2024-06-03T10:18:27
