id;alert_type;description;created_date
1;familiar as openly;tough dawn;2024-06-03T12:52:03
2;which;hopelessly;2024-06-03T07:31:26
3;ew;boo interestingly;2024-06-02T22:32:06
4;though;sedately gigantic publishing;2024-06-03T09:23:26
5;kind woeful as;righteously whose stumbling;2024-06-03T18:41:40
6;through cue instead;suspiciously;2024-06-02T22:35:34
7;ick woot;bombard because;2024-06-03T09:34:05
8;simplistic barstool yippee;movies;2024-06-03T04:25:29
9;boohoo grin;bravely;2024-06-03T21:49:01
10;indeed ouch;without wimp yahoo;2024-06-03T08:08:43
