id;name;description;api_endpoint;auth_details
1;lily mmm mostly;locket worn ick;zowie marriage dehumanise;disrupt uh-huh
2;staid mass;cautious;fuel;where
3;constellation;violently ha tempting;abbreviation;phooey oh
4;but;if cauterize;when;take immediately
5;pfft granular;untried angry;besides drat;smash group
6;abnormally;yuck;textual decisive;maul nor
7;fling boo soon;pulverize;honesty flag tall;instead rapidly
8;unsightly gee;outpace atop boil;blindly;phew
9;athwart;considering if;though once;fortress flicker
10;defend badly revival;before;foolish;including aw observe
