id;measurement_type;value;measurement_time
1;personalise;meeting furiously;2024-06-03T03:29:44
2;remember boom except;until remorseful painfully;2024-06-03T02:44:34
3;yearningly;yowza excess quarterback;2024-06-03T04:13:54
4;last;stealthily;2024-06-03T03:41:27
5;coaxingly calmly stun;although huzzah;2024-06-03T17:47:40
6;pish hm for;where peripheral excitedly;2024-06-03T09:22:51
7;that vastly;assign tray grateful;2024-06-02T22:03:35
8;state immediate;yahoo before better;2024-06-03T02:12:04
9;indeed;snap readily;2024-06-03T12:19:01
10;mortally;over sauerkraut whereas;2024-06-03T18:02:36
