id;notification_type;message;sent_date
1;spite coaxingly about;broadly weepy;2024-06-03T04:51:10
2;hm er anenst;when polished;2024-06-02T22:41:37
3;lively distinct abbreviate;aw scarily cake;2024-06-03T09:39:05
4;surname;although;2024-06-03T21:05:49
5;toward gee worried;patter;2024-06-03T16:27:50
6;important;past without;2024-06-03T09:59:25
7;perjure;yahoo noisily abaft;2024-06-02T23:45:16
8;gee burgle;alongside;2024-06-03T04:20:57
9;selfishly;dearly oof resemblance;2024-06-03T10:44:23
10;doctorate;oddball excluding;2024-06-03T09:47:56
